Facility ID,Facility Name,Facility Type,Ownership,Operational Status,Province,District,Services
3061,Kabyolwe Health Post,Health Post,MOH,Functional,Northern,Mpulungu,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
1307,Mbila Rural Health Centre,Health Centre,MOH,Functional,Southern,Itezhi-Tezhi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
2966,Mole Health Post,Health Post,MOH,Functional,Northern,Mporokoso,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3930,Mukumbe Health Post,Health Post,MOH,Functional,Muchinga,Nakonde,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4438,Kakungu Health Post,Health Post,MOH,Functional,Northern,Mbala,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4708,Mulungushi Health Post,Health Post,MOH,Functional,Luapula,Milenge,N/A
1385,Ngoma Rural Health Centre,Health Centre,MOH,Functional,Southern,Itezhi-Tezhi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; Public Health Services; ART & VMMC"
2508,Lushishi Health Post,Health Post,MOH,Functional,Copperbelt,Chingola,"General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Public Health Services"
2898,Katilungu Health Post,Health Post,MOH,Functional,Northern,Mungwi,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Public Health Services"
2681,Malamba Health Post,Health Post,MOH,Functional,Luapula,Mansa,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4323,Phil Opticians Cross Roads,Eye clinic,Private,Functional,Lusaka,Lusaka,N/A
2449,Kansoka Rural Health Centre,Health Centre,MOH,Functional,Copperbelt,Lufwanyama,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Laboratory Services; ART & VMMC"
3728,Chambulumina Health Post,Health Post,MOH,Functional,Central,Kapiri-Mposhi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3708,Kapiri Urban Health Center,Health Centre,MOH,Functional,Central,Kapiri-Mposhi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
4365,Medicare Opticians - Munali Mall,Eye clinic,Private,Functional,Lusaka,Lusaka,N/A
2638,Maheba H Rural Health Centre,Health Centre,MOH,Functional,North-Western,Kalumbila,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
2651,Kabongo Rural Health Center,Health Centre,MOH,Functional,Luapula,Samfya,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3611,Satellite 30 Rural Health Centre,Health Centre,MOH,Functional,Eastern,Lusangazi,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
3697,Makuzu Rural Health Post,Health Post,MOH,Functional,Southern,Itezhi-Tezhi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3818,Masaiti Boarding Health Post,Health Post,MOH,Functional,Copperbelt,Masaiti,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4159,South Point Clinic,General clinic,Private,Functional,Central,Chibombo,N/A
1492,Chilenje  First Level Hospital,1st Level Hospital,MOH,Functional,Lusaka,Lusaka,Surgery; Critical Care Medicine (High Dependency Care); Internal Medicine (Infectious and None Communicable Medicine); Laboratory Services; Dental; Ophthalmology; Obstetrics and Gynaecology; Palliative care services; Patient Referral and Transfer; Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Imaging such as radiology and sonography (Simple and Special); Resuscitation and Emergency Medicine
1669,Ikabako Health Post,Health Post,MOH,Functional,Western,Limulunga,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1590,Mutamino Health Post,Health Post,MOH,Functional,Lusaka,Chongwe,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
