facility_code,service_category,service_group,service_detail
2834,Public Health Services,Public Health Services,Public Health Services
2452,Public Health Services,Public Health Services,Public Health Services
2452,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2452,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2452,Maternity,Maternity,Maternity
2754,Public Health Services,Public Health Services,Public Health Services
2754,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2754,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2754,Maternity,Maternity,Maternity
4148,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
4148,Maternity,Maternity,Maternity
4148,Public Health Services,Public Health Services,Public Health Services
4148,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1218,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1218,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1218,Maternity,Maternity,Maternity
1218,Dental,Dental,Dental
1218,Laboratory Services,Laboratory Services,Laboratory Services
1218,Public Health Services,Public Health Services,Public Health Services
1218,ART & VMMC,ART & VMMC,ART & VMMC
4476,Public Health Services,Public Health Services,Public Health Services
4476,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
4476,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
4476,Maternity,Maternity,Maternity
1774,Public Health Services,Public Health Services,Public Health Services
1774,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1774,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1774,Maternity,Maternity,Maternity
1774,Dental,Dental,Dental
1774,Laboratory Services,Laboratory Services,Laboratory Services
1774,ART & VMMC,ART & VMMC,ART & VMMC
3705,Public Health Services,Public Health Services,Public Health Services
3705,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3705,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3705,Maternity,Maternity,Maternity
3705,Dental,Dental,Dental
3705,Laboratory Services,Laboratory Services,Laboratory Services
3705,ART & VMMC,ART & VMMC,ART & VMMC
2807,Public Health Services,Public Health Services,Public Health Services
2807,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2807,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
