facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Kontien Primary Health Clinic,07/20/1/1/1/0015,Primary,Public,7.6331117,8.9235267,Benue,NA
Nkst (Annune) Primary Health Center,07/20/1/1/1/0020,Primary,Private,7.546616667,8.892953333,Benue,NA
Salem Primary Health Clinic,07/20/1/1/1/0022,Primary,Public,7.639706667,8.876725,Benue,NA
Oraye 1 Primary Health Clinic,13/14/1/1/1/0021,Primary,Public,7.46334,5.42189,Ekiti,NA
Isan Primary Health Clinic,13/16/1/1/1/0007,Primary,Public,7.920763,5.319152,Ekiti,NA
St Anne'S School Health Post,07/19/1/1/1/0040,Primary,Public,7.185832735,8.137036506,Benue,NA
Ika Efofe Primary Health Clinic,22/03/1/1/1/0057,Primary,Public,7.605383333,7.71302,Kogi,NA
Ajokpachi Primary Health Clinic,22/19/1/1/1/0008,Primary,Public,7.757598333,7.639501667,Kogi,NA
Gabi Primary Health Care Center,05/08/1/1/1/0020,Primary,Public,10.66712,10.45005,Bauchi,NA
Kujera Primary Health Clinic,05/15/1/1/1/0034,Primary,Public,10.88882,9.5837,Bauchi,NA
Genu Primary Health Clinic,26/21/1/1/1/0024,Primary,Public,10.91221,5.20959,Niger,NA
Oreke Oke Igbo Health Post,23/05/1/1/1/0052,Primary,Public,8.435535,5.110778333,Kwara,NA
Iyanu Hospital,30/05/1/1/1/0010,Secondary,Private,7.414961,3.9786187,Oyo,NA
Uzochi Hospital,16/10/1/1/1/0026,Primary,Public,5.675645,7.070568333,Imo,NA
Ugbodo Primary Health Center,11/04/1/1/1/0006,Primary,Public,6.337265,8.094365,Ebonyi,NA
Ilawe Primary Health Clinic,13/04/1/1/1/0008,Primary,Public,7.59416,5.10439,Ekiti,NA
Pillars Medical Center,27/18/1/1/2/0008,Primary,Private,6.69797,3.50975,Ogun,NA
Ipari Model Primary Health Clinic,07/15/1/1/1/0025,Primary,Public,7.103368201,7.653067961,Benue,NA
Ondo Primary Health Clinic,07/18/1/1/2/0025,Primary,Public,7.277016655,7.824581645,Benue,NA
Fidi Primary Health Center,07/13/1/1/1/0025,Primary,Public,7.71476,8.62513,Benue,NA
Okpokpolo Health Post,07/03/1/1/2/0029,Primary,Public,7.975027458,7.739964302,Benue,NA
Mbaiywar Primary Health Clinic,07/08/1/1/1/0029,Primary,Public,7.377555902,8.150638085,Benue,NA
Abenga Primary Health Clinic,07/11/1/1/2/0006,Primary,Public,6.860200786,9.286511009,Benue,NA
Dankan Bako Health Post,25/08/1/1/1/0009,Primary,Public,8.6109561,8.4950187,Nasarawa,NA
Karmo Primary Health Center,25/12/1/1/1/0097,Primary,Public,8.4966124,7.4896284,Nasarawa,NA
Nneogidi Primary Health Center,04/04/1/1/1/0015,Primary,Public,6.13137,7.046008333,Anambra,NA
Ohazu 2 Health Post,01/02/1/1/1/0042,Primary,Public,5.092421667,7.360998333,Abia,NA
Igwebuike Health Clinic,01/02/1/1/1/0027,Primary,Public,5.093538333,7.375828333,Abia,NA
Usha Primary Health Center,07/03/1/1/1/0030,Primary,Public,7.929841667,7.829135,Benue,NA
Abunuzu Imezi Owa Health Center,14/06/1/1/2/0001,Primary,Public,6.3867033,7.341215,Enugu,NA
Upata Ezema Imezi Owa Health Center,14/06/1/1/2/0041,Primary,Public,6.381245,7.3358083,Enugu,NA
Obingwa Health Post,01/06/1/1/1/0037,Primary,Public,5.4542167,7.37956,Abia,NA
St Lawanga Umuabianike Ihiala Maternity Home,04/12/1/1/2/0072,Primary,Private,5.835688333,6.839543333,Anambra,NA
Our Lady Of Fatima Hospital and Maternity,04/11/1/1/1/0042,Secondary,Private,6.0349,6.9662,Anambra,NA
Torjir Health Clinic,07/23/1/1/2/0121,Primary,Private,6.884201667,9.048021667,Benue,NA
Holy Trinity Clinic and Maternity,07/11/1/1/2/0035,Primary,Private,6.770455,9.36252,Benue,NA
Usombo Nkst Primary Health Center,07/11/1/1/1/0060,Primary,Private,7.582648333,8.938326667,Benue,NA
Okija Central Primary Health Center,04/12/1/1/1/0043,Primary,Public,5.909856667,6.843435,Anambra,NA
Nkwukwo Health Post,04/15/1/1/1/0019,Primary,Public,5.9443642,7.0264423,Anambra,NA
Igodo Primary Health Clinic,22/19/1/1/1/0015,Primary,Public,7.62468,7.48299,Kogi,NA
Kwami Model Primary Health Center,15/08/1/1/1/0031,Primary,Public,10.38223,11.09436333,Gombe,NA
Asasa Health Center,01/03/1/1/1/0017,Primary,Public,5.396295,7.884486667,Abia,NA
Otuobi Primary Health Clinic,01/11/1/1/1/0080,Primary,Public,5.15505,7.301545,Abia,NA
Umuka 1 Health Post,01/11/1/1/1/0055,Primary,Public,5.2187667,7.32668,Abia,NA
Eporo Primary Health Clinic,13/06/1/1/2/0001,Primary,Public,7.33469,5.50221,Ekiti,NA
Tacha Primary Health Center,07/09/1/1/1/0041,Primary,Public,7.13313,9.68835,Benue,NA
Ataganyi Primary Health Center,07/02/1/1/1/0004,Primary,Public,7.786608333,7.868043333,Benue,NA
Oginibiri Primary Health Care Center,06/01/1/1/1/0030,Primary,Public,4.28171,6.08595,Bayelsa,NA
Omadino Primary Health Care,10/24/1/1/1/0072,Primary,Public,5.626881667,5.649603333,Delta,NA
Ikpoba Primary Health Center,12/15/1/1/1/0020,Primary,Public,6.483966667,5.383588333,Edo,NA
Uzebu Health Post,12/05/1/1/1/0080,Primary,Public,6.471321667,6.356333333,Edo,NA
Iyanomo Health Post,12/14/1/1/1/0016,Primary,Public,6.60724,5.48372,Edo,NA
Arua Fugar Primary Health Center,12/07/1/1/1/0003,Primary,Public,7.08467,6.49842,Edo,NA
Ikwo General Hospital,11/07/1/2/1/0001,Secondary,Public,6.0202967,8.2538983,Ebonyi,NA
Okposi Maternal and Child Health Centre,11/05/1/1/1/0032,Primary,Public,6.33883,8.060498333,Ebonyi,NA
Amukoko Primary Health Center,30/29/1/1/2/0003,Primary,Public,8.8154117,3.6256367,Oyo,NA
Adogba Primary Health Center,30/05/1/1/1/0001,Primary,Public,7.408838333,3.969011667,Oyo,NA
Idiroko Primary Health Clinic,29/23/1/1/1/0015,Primary,Public,7.71071058342,4.07914835515,Osun,NA
Oniga Health Post,29/28/1/1/1/0023,Primary,Public,7.408698333,4.944601667,Osun,NA
Akatta 1 Health Center,16/23/1/1/1/0018,Primary,Public,5.76784545955,6.96532080225,Imo,NA
Ihotor Health Center,11/06/1/1/1/0025,Primary,Public,6.15886,8.09955,Ebonyi,NA
Alaguntan Primary Health Center,30/28/1/1/1/0016,Primary,Public,8.8190633,3.8638083,Oyo,NA
Apadi Health Clinic,30/25/1/1/1/0050,Primary,Public,7.239058333,3.933845,Oyo,NA
Osengere Health Clinic,30/05/1/2/2/0008,Primary,Public,7.3820417,4.0857317,Oyo,NA
Oke Ooye Primary Health Center,29/18/1/1/1/0013,Primary,Public,7.616715,4.747676667,Osun,NA
Surulere Health Post,30/22/1/1/1/0030,Primary,Public,8.124521667,4.217428333,Oyo,NA
Igbaiye Primary Health Center,29/18/1/1/1/0004,Primary,Public,7.629043333,4.749661667,Osun,NA
