facility_code,service_category,service_group,service_detail
BT240006,Clinical Services,Clinical Services,Diarrhoea diseases
BT240006,Clinical Services,Clinical Services,Pneumonia treatment
BT240006,Clinical Services,Clinical Services,ZINC
BT240006,Clinical Services,Clinical Services,MCI-Integrated Mangement of child illiness
BT240006,Clinical Services,Clinical Services,ARI
BT240006,Clinical Services,Clinical Services,Treatment of severe pneumonia(Oxygen)
BT240006,Clinical Services,Clinical Services,MCI-Integrated Mangement of child illiness
BT240006,Clinical Services,Clinical Services,Disposable gloves
BT240006,Clinical Services,Clinical Services,Chronic Respiratory diseases management
BT240006,Clinical Services,Clinical Services,Treatment of severe pneumonia(Oxygen)
BT240006,Clinical Services,Clinical Services,Bin
BT240006,Clinical Services,Clinical Services,Non-Communicable Diseases
BT240006,Clinical Services,Clinical Services,ORS
BT240006,Clinical Services,Clinical Services,Sharp container
BT240006,Clinical Services,Clinical Services,Chronic Respiratory diseases
BT240006,Clinical Services,Clinical Services,Diarrhoea diseases
BT240006,Clinical Services,Clinical Services,Disinfectant
BT240006,Clinical Services,Clinical Services,ZINC
BT240006,Clinical Services,Clinical Services,Disposable syringes
BT240006,Clinical Services,Clinical Services,Cardivascular diseases management
BT240006,Clinical Services,Clinical Services,Chronic Respiratory diseases management
BT240006,Clinical Services,Clinical Services,ORS
BT240006,Clinical Services,Clinical Services,Diarrhoea diseases
BT240006,Clinical Services,Clinical Services,ZINC
BT240006,Clinical Services,Clinical Services,Running water
BT240006,Clinical Services,Clinical Services,Chronic Respiratory diseases management
BT240006,Clinical Services,Clinical Services,Surgical services provided
BT240006,Clinical Services,Clinical Services,Hand waship soap
BT240006,Clinical Services,Clinical Services,Non-Communicable Diseases
BT240006,Clinical Services,Clinical Services,Disposable gloves
BT240006,Clinical Services,Clinical Services,Chronic Respiratory diseases
BT240006,Clinical Services,Clinical Services,Cardivascular diseases management
BT240006,Clinical Services,Clinical Services,Bin
BT240006,Clinical Services,Clinical Services,Non-Communicable Diseases
BT240006,Clinical Services,Clinical Services,Sharp container
BT240006,Clinical Services,Clinical Services,Chronic Respiratory diseases
BT240006,Clinical Services,Clinical Services,Disinfectant
BT240006,Clinical Services,Clinical Services,Running water
BT240006,Clinical Services,Clinical Services,Cardivascular diseases management
BT240006,Clinical Services,Clinical Services,Disposable syringes
BT240006,Clinical Services,Clinical Services,Running water
BT240006,Clinical Services,Clinical Services,Surgical services provided
BT240006,Clinical Services,Clinical Services,Hand waship soap
BT240006,Clinical Services,Clinical Services,Disposable gloves
BT240006,Clinical Services,Clinical Services,Bin
BT240006,Clinical Services,Clinical Services,Sharp container
BT240006,Clinical Services,Clinical Services,Disinfectant
BT240006,Clinical Services,Clinical Services,Disposable syringes
BT240006,Clinical Services,Clinical Services,Surgical services provided
BT240006,Clinical Services,Clinical Services,Hand waship soap
BT240006,Clinical Services,Clinical Services,Disposable gloves
BT240006,Clinical Services,Clinical Services,Bin
BT240006,Clinical Services,Clinical Services,Sharp container
BT240006,Clinical Services,Clinical Services,Disinfectant
BT240006,Clinical Services,Clinical Services,Disposable syringes
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Pill
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Pill
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Injectable
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Male condoms
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Female condoms
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Intrauterine Device (IUD)
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Implant
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Emergency Contraception
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Female Sterilisation
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Depoprovera
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Iron Supplimentation
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Folic acid supplimentation
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Fansidar for malaria prevention (IPT)
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Tetanus Toxoid
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Management of High Blood Pressure in Pregnant women
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Misoprostol
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,ANC guidelines
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,ANC job aid
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,IPT guidelines
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Staff trained in ANC last 2 years
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Staff trained in IPT last 2 years
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,HIV Counselling for Pregnant women
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,HIV Testing
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,ARV Prophylaxis
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,ART for Pregnant women
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,ARV prohpylaxis  for newborn
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Breastfeeding/feeding options Counselling
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Nutrition Counselling
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Family planning  counselling to HIV positve pregnant women
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,PMTCT guideines
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Staff trained in PMTCT last 2 years
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Staff trained in infant and young child feeding last 2 years
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Infant and young child feeding last 2 years
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Antibiotics
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Parentel oxytocin
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Magnesium sulphate
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Assisted vaginal
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Manual removal of placenta
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Removal of concetpion products
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Neonatal Rescucitation
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Caesarian section
LL040007,Clinical Services,Clinical Services,Blood transfusion
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Successiful Deliveries
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Ceasarian section
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Obstetric Guidelines
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Obstetric Job aid
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,New born rescucitation
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Neonatal sucntion bulb single use/multiuse
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Sunction bulb multiuse
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Eye ointment
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Gentamycin injectable 20mg
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Ampicilin
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Hydralazine
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Metronidazole
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Azithromycin
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Cefixime
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Benzathine/Benzylpenicin
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Nifedipe
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Methyldopa
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Calcium gluconate
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Magnesium sulphate
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Skin disinfectant
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Chlorhexidine
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,IV Solutions
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Sodium chloride injection solution
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Betamethasone injectable
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Dexamethasone injectable
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Oxytocin
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Skilled vaccine  providers
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Staff trained  in vaccine management
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,staff trained in monitoring
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Staff trained in disease surveillance
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Staff trained in injection safety
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Disposable syringes
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Auto-disable syringes
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Polio vaccine diluent
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,BCG vaccine diluent
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Pneumococcol vaccine
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,DPT Vaccine
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Measles vaccine
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Management of malnutrition
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Vitamin A supplimentation in infants and children
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,ORS provision
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Zinc supplimentation
LL040007,Community Health,Community Health,Growth monitoring
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Amoxixillin Treatment
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Malaria Treatment
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Iron Suppliment
LL040007,Clinical Services,Clinical Services,Running water
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Hand washing soap
LL040007,Clinical Services,Clinical Services,Hand sanitiser
LL040007,Clinical Services,Clinical Services,Disposable gloves
LL040007,Clinical Services,Clinical Services,Bin
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Shaprs Container
LL040007,Clinical Services,Clinical Services,Disinfectant
LL040007,Clinical Services,Clinical Services,Auto disposable syringes
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Staff trained in VCT
LL040007,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Staff trained in HIV-AIDS prevention
LL040007,Clinical Services,Clinical Services,ART providers
LL040007,Clinical Services,Clinical Services,ART Pescriptions
LL040007,Clinical Services,Clinical Services,Hernia Repair
LL040007,Clinical Services,Clinical Services,Rescucitation for adults
LL040007,Clinical Services,Clinical Services,Needle holders
LL040007,Clinical Services,Clinical Services,Surgical Blades
LL040007,Clinical Services,Clinical Services,Retractor
LL040007,Clinical Services,Clinical Services,Surgical Scissors
LL040007,Clinical Services,Clinical Services,Feeding tubes
LL040007,Clinical Services,Clinical Services,Tourniquet
LL040007,Clinical Services,Clinical Services,Suction Pump and catheter
LL040007,Clinical Services,Clinical Services,Running water
LL040007,Clinical Services,Clinical Services,Hand waship soap
LL040007,Clinical Services,Clinical Services,Hand sanitiser
LL040007,Clinical Services,Clinical Services,Disposable gloves
LL040007,Clinical Services,Clinical Services,Bin
LL040007,Clinical Services,Clinical Services,Sharp container
LL040007,Clinical Services,Clinical Services,Disinfectant
LL040007,Clinical Services,Clinical Services,Auto disposable syringes
LL040007,Clinical Services,Clinical Services,Malaria diagnosis through symptoms
LL040007,Clinical Services,Clinical Services,Malaria rapid diagnostic test (MRDT)
LL040007,Clinical Services,Clinical Services,Slide Microscopy
LL040007,Diagnostics,Diagnostics,Rapid Syphillis
LL040007,Diagnostics,Diagnostics,Rapid HIV Testing
LL040007,Diagnostics,Diagnostics,Urine protein dip stick test
LL040007,Diagnostics,Diagnostics,Urine glucose test
LL040007,Diagnostics,Diagnostics,Urine keton test
LL040007,Diagnostics,Diagnostics,Malaria rapid test
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Oral Contraceptives
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Progesterone oral Contraceptive
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Injectable Contraceptive
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Male condoms
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Female condoms
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Intrauterine Device (IUCD)
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Implants
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Emergency Contraceptives
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Male Sterilisation
LL040007,Maternal & Reproductive Health,Maternal & Reproductive Health,Depoprovera
