addo_uid,addo_name,business_type,accreditation_source,po_box,region,region_raw_clean,district,ward,village_street,phone,training_center,latitude,longitude,altitude,gps_source,gps_accuracy,has_coords,gid_region,gid_district,gid_ward
TZ-ADDO-04297,NEEMA DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Chaugingi,,Njombe District,-9.3527024273,34.7715989774,1959.1205795691,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04298,MTEGA DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombeurban,Chaugingi,,Njombe District,-9.3528266699,34.7713812833,1930.0672030804,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04299,HAPPY DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Chaugingi,,Njombe District,-9.3534893385,34.771192324,1937.3862739599,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04300,T.MLELWA DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Uyelevale,,,-9.3504116263,34.7643385005,1925.1307503358,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04301,LAJAA DLDM,Retail A,Pharmacy Council,,Njombe,Njombe,Njombe Tc,Njombe Urban,Airport,,Njombe District,-9.3549185057,34.7738901212,1954.5005477913,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04302,FARAJA DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Melinze,,,-9.3591230042,34.7815069031,1949.6925338747,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04303,UPENDO DLDM,Retail A,TFDA,,Njombe,Njombe,Njombe Tc,Njombe Urban,Melinze,,,-9.3588816028,34.7824647444,1960.4380478183,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04304,AGAPE DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Melinze,,,-9.3594820673,34.7821867786,1968.6797584843,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04305,MUHIMBA DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Melinze,,Njombe District,-9.357925967,34.7815893467,1957.8540277859,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04306,ROC DLDM,Retail A,,,Njombe,Njombe,Njombe Tc,Njombe Urban,Melinze,,,-9.3563503842,34.782485438,1943.6945609378,tablet,4.0,True,36957248B16645806994912,,
TZ-ADDO-04307,R.A.T DLDM,Retail A,TFDA,,Njombe,Njombe,Ludewa,Madope,Madope,,Kibena Njombe,-9.6668361626,34.6563728011,2160.206108535,tablet,4.0,True,36957248B16645806994912,72390352B43391507115191,66589294B30571202113360
TZ-ADDO-04308,SINAI DLDM,Retail A,,,Njombe,Njombe,Ludewa Dc,,,,,-9.6810574814,34.6797210107,2052.9479749529,tablet,4.0,True,36957248B16645806994912,72390352B43391507115191,
TZ-ADDO-04309,MANGA DLDM,Retail A,,,Njombe,Njombe,Ludewa,Madilu,Manga Juu,,Makambako,-9.7118389622,34.7328729215,2095.3315925658,tablet,4.0,True,36957248B16645806994912,72390352B43391507115191,66589294B14194956318151
